player,fantpos,espn_rank,draft_year,height,weight,armlength,handsize,forty,ten_split,bench,vertical,broad,shuttle,cone,clust
Ezekiel Elliott,RB,93,2000,72,228,31.25,10.25,4.47,1.58,18,32.5,118,4.18,6.84,10
Calvin Johnson,WR,99,2000,77,237,36,9.75,4.35,1.52,19,42.5,139,4.07,6.66,10
Larry Fitzgerald,WR,99,2000,75,218,32.751,9.718,4.53,1.59,17,34.89,121,4.23,6.93,10
Patrick Mahomes,QB,85,2000,75,230,33.25,9.25,4.8,1.65,18,30,114,4.08,6.88,10
Deshaun Watson,QB,88,2000,74,215,33,9.75,4.66,1.6,17,32.5,119,4.31,6.95,10
Russell Wilson,QB,69,2000,71,215,31,10.25,4.55,1.59,17,34,118,4.09,6.97,10
Travis Kelce,TE,80,2000,77,260,33.624,9.978,4.66,1.66,20,35,124,4.47,7.14,10
Christian McCaffrey,RB,92,2000,71,205,30,9,4.48,1.55,10,37,121,4.22,6.57,10
Julio Jones,WR,95,2000,75,220,33.75,9.75,4.34,1.5,17,38.5,135,4.25,6.66,10
Michael Thomas,WR,86,2000,75,212,32.125,10.5,4.6,1.62,18,33,126,4.13,6.8,10
George Kittle,TE,68,2000,76,250,33.125,9.25,4.52,1.59,18,36.75,132,4.12,6.81,10
DeAndre Hopkins,WR,86,2000,73,212,33.375,10,4.6,1.66,15,36,115,4.5,6.88,10
Jimmy Graham,TE,71,2000,79,265,35,10.625,4.56,1.58,15,38.5,120,4.45,6.9,10
Mike Evans,WR,94,2000,77,231,35.125,9.625,4.53,1.6,12,37,128,4.26,7.08,10
Zach Ertz,TE,88,2000,77,250,31.625,9.625,4.74,1.69,24,33,113,4.47,7.08,10
Alvin Kamara,RB,86,2000,70,215,32.75,9.25,4.53,1.55,15,39.5,131,4.4,7.15,10
Rob Gronkowski,TE,85,2000,78,268,34.25,10.75,4.73,1.63,23,33.5,119,4.52,7.23,10
Saquon Barkley,RB,97,2000,72,233,31.375,9.5,4.4,1.54,29,41,142,4.24,6.94,10
Leonard Fournette,RB,93,2000,72,228,31.625,9.25,4.51,1.59,18,28.5,99,4.22,6.9,9
Andrew Luck,QB,99,2000,76,240,32.625,10,4.67,1.65,19,36,124,4.28,6.8,9
Josh Allen,QB,92,2000,77,237,33.25,10.125,4.75,1.59,19,33.5,119,4.48,6.9,9
Cam Newton,QB,93,2000,77,245,33.75,9.875,4.6,1.6,19,35,126,4.18,6.92,9
Adrian Peterson,RB,98,2000,73,220,32.25,10,4.41,1.57,17,38.5,127,4.4,7.09,9
Aaron Rodgers,QB,99,2000,74,225,32.314,9.589,4.77,1.7,18,34.5,110,4.37,7.28,9
Jordan Reed,TE,69,2000,74,245,33,10,4.72,1.66,16,36.78,127,4.41,7.22,9
Evan Engram,TE,90,2000,75,240,33.5,10,4.42,1.56,19,36,125,4.23,6.92,9
Melvin Gordon,RB,90,2000,73,215,32.375,9.75,4.52,1.62,19,35,126,4.07,7.04,9
Greg Olsen,TE,93,2000,77,255,32.625,10.25,4.55,1.62,23,36.5,117,4.47,7.04,9
Dez Bryant,WR,94,2000,74,220,32.314,9.589,4.57,1.58,14,38,133,4.51,7.15,9
Dalvin Cook,RB,90,2000,70,210,32.375,9.25,4.53,1.62,22,30.5,116,4.53,7.27,9
Mark Andrews,TE,75,2000,77,256,32.5,9.5,4.67,1.54,17,31,113,4.38,7.34,9
Jarvis Landry,WR,84,2000,71,196,31.75,10.25,4.72,1.68,12,30,112,4.64,7.61,9
Cooper Kupp,WR,79,2000,74,208,31.5,9.5,4.64,1.62,16,30.25,116,4.13,6.67,8
Amari Cooper,WR,94,2000,73,210,31.5,10,4.42,1.61,16,33.5,120,3.98,6.71,8
Jamaal Charles,RB,86,2000,71,199,31.004,9.2,4.38,1.53,16,30.5,122,4.22,6.8,8
Carson Wentz,QB,91,2000,77,237,33.25,10,4.77,1.65,19,30.5,118,4.15,6.86,8
DeSean Jackson,WR,90,2000,70,175,30.568,9.07,4.35,1.55,14,34.5,121,4.24,6.87,8
Frank Gore,RB,73,2000,69,212,30.5,10.125,4.63,1.62,17,34,109,4.16,6.96,8
Matthew Stafford,QB,96,2000,75,220,30.75,10,4.81,1.72,17,30.5,107,4.47,7.06,8
Dak Prescott,QB,48,2000,74,235,32.25,10.875,4.79,1.66,18,32.5,116,4.32,7.11,8
Jameis Winston,QB,97,2000,76,231,32,9.375,4.97,1.74,18,28.5,103,4.36,7.16,8
Matt Ryan,QB,98,2000,76,217,33.188,9.5,4.95,1.67,17,35.04,121,4.51,7.4,8
A.J. Brown,WR,85,2000,72,226,32.875,9.75,4.49,1.57,19,36.5,120,4.2,6.87,8
Brandin Cooks,WR,91,2000,70,183,30.75,9.625,4.33,1.54,16,36,120,3.81,6.76,8
Aaron Jones,RB,36,2000,69,208,32.5,9.5,4.56,1.6,16,37,127,4.2,6.82,8
David Johnson,RB,69,2000,73,224,31.878,9.459,4.5,1.57,25,41.5,127,4.27,6.82,8
Davante Adams,WR,85,2000,73,215,32.625,9,4.56,1.65,14,38.25,125,4.3,6.82,8
LeSean McCoy,RB,88,2000,71,210,31,9.375,4.55,1.57,17,29,107,4.23,6.87,8
JuJu Smith-Schuster,WR,83,2000,73,215,32.875,10.5,4.54,1.55,15,33,122,4.24,6.98,8
Austin Hooper,TE,79,2000,76,254,33.75,10.625,4.74,1.65,19,33,117,4.32,7,8
Chris Godwin,WR,72,2000,73,209,31.625,9.125,4.42,1.54,19,36,126,4,7.01,8
Terry McLaurin,WR,81,2000,72,208,31.5,9.125,4.35,1.52,18,37.5,125,4.15,7.01,8
Stefon Diggs,WR,68,2000,72,191,31.25,10,4.46,1.53,11,35,115,4.24,7.03,8
Nick Chubb,RB,86,2000,71,227,32,9.625,4.52,1.62,29,38.5,128,4.25,7.09,8
Marshawn Lynch,RB,93,2000,71,215,31.004,9.2,4.52,1.6,20,35.5,125,4.58,7.09,8
Joe Mixon,RB,84,2000,73,220,31.878,9.459,4.5,1.56,21,35,118,4.32,7.15,8
Derrick Henry,RB,81,2000,75,247,33,8.75,4.54,1.6,22,37,128,4.38,7.2,8
Hunter Henry,TE,89,2000,77,250,32.75,9.25,4.73,1.65,17,31.5,113,4.46,7.21,8
Kareem Hunt,RB,74,2000,71,216,31.375,9.625,4.64,1.61,18,36.5,119,4.58,7.27,8
Kyle Rudolph,TE,89,2000,78,265,33,9.625,4.88,1.72,19,34.5,113,4.42,7.29,8
Eric Ebron,TE,92,2000,76,253,33.25,10,4.6,1.63,24,32,120,4.5,7.54,8
Alshon Jeffery,WR,83,2000,75,218,33,10.25,4.53,1.69,17,36.5,122,4.22,6.76,7
Andy Dalton,QB,86,2000,74,220,31.75,9.5,4.93,1.77,17,29.5,106,4.27,6.93,7
Baker Mayfield,QB,91,2000,73,215,30.25,9.25,4.84,1.72,17,29,111,4.28,7,7
Brandon Marshall,WR,70,2000,77,232,33.75,10.375,4.56,1.6,18,37,120,4.36,7.01,7
Jordy Nelson,WR,86,2000,75,217,34.125,10.125,4.51,1.57,17,31,123,4.35,7.03,7
Kirk Cousins,QB,83,2000,75,202,31.75,9.875,4.93,1.71,16,28.5,109,4.5,7.05,7
Zach Miller,TE,85,2000,77,245,31.75,9,4.58,1.6,19,37.5,124,4.27,7.11,7
Jeremy Maclin,WR,95,2000,72,198,33.5,10.125,4.48,1.61,16,35.5,120,4.3,7.11,7
